  Attempt 1/50 (seed 0): N=18
  Attempt 4/50 (seed 3): N=16 (PROVABLY MINIMUM)
  Stopping early at attempt 4 because lower bound 16 was reached and coverage verified.
Language    Color       Display Mode       Fonts            Screen Size
English     16-bit      Limited-bandwidth  Minimal          Hand-held  
English     Monochrome  Text-only          Document-loaded  Laptop     
Portuguese  Monochrome  Limited-bandwidth  Standard         Full-size  
French      True-color  Full-graphics      Document-loaded  Full-size  
Spanish     Color-map   Text-only          Standard         Hand-held  
French      16-bit      Full-graphics      Standard         Laptop     
Spanish     Monochrome  Full-graphics      Minimal          Laptop     
Portuguese  16-bit      Text-only          Document-loaded  Full-size  
French      Color-map   Limited-bandwidth  Document-loaded  Hand-held  
Spanish     True-color  Limited-bandwidth  Minimal          Full-size  
Portuguese  Color-map   Full-graphics      Minimal          Laptop     
Portuguese  True-color  Text-only          Standard         Hand-held  
French      Monochrome  Text-only          Minimal          Hand-held  
English     True-color  Limited-bandwidth  Standard         Laptop     
Spanish     16-bit      Full-graphics      Document-loaded  Hand-held  
English     Color-map   Full-graphics      Document-loaded  Full-size  
